City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Wajir,KE,73.09,broken clouds,1.7471,40.0573,Mahatallah Hotel
Praia Da Vitoria,PT,71.76,light intensity shower rain,38.7333,-27.0667,Hotel Branco I
Mackay,AU,74.68,light rain,-21.15,149.2,International Lodge Motel
Bowen,AU,77.68,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
Itarema,BR,77.63,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
Casimiro Castillo,MX,72.73,overcast clouds,19.6,-104.4333,Hotel San José
Sampit,ID,77.16,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
Cuddapah,IN,75.51,overcast clouds,14.4667,78.8167,Swagath Residency A/C - OYO Rooms
Misratah,LY,74.66,clear sky,32.3754,15.0925,Almasa Hotel
Dahra,DZ,79.99,overcast clouds,36.2546,0.8519,Ein Matboul
Mogadishu,SO,76.53,overcast clouds,2.0371,45.3438,Hotel Juba
Bardiyah,LY,74.57,clear sky,31.7561,25.0865,بورتو بردية
San Juan,AR,76.28,clear sky,-31.5375,-68.5364,Hotel Provincial
Lhokseumawe,ID,76.32,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
Palm Coast,US,77.07,clear sky,29.585,-81.2078,Hammock Beach Golf Resort & Spa
Bayshore Gardens,US,76.12,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
Lamar,US,74.98,clear sky,33.6668,-95.5836,Kings Inn Paris TX
Kualakapuas,ID,79.32,overcast clouds,-3.0091,114.3876,Guest House Izonk
Ilorin,NG,75.56,few clouds,8.5,4.55,SITY INN
Suluq,LY,72.23,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
Lagoa,PT,70.74,light rain,39.05,-27.9833,Casa Das Faias
Mapiripan,CO,77.61,broken clouds,2.8892,-72.1256,Monserrate
Tomatlan,MX,74.95,overcast clouds,19.9333,-105.25,El Salvial
Moindou,NC,74.5,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
Zwedru,LR,71.44,moderate rain,6.0667,-8.1281,Elijah Worjloh
Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
Saint Augustine,US,76.01,clear sky,29.8947,-81.3145,Best Western Spanish Quarters Inn
Santo Antonio Do Ica,BR,73.99,scattered clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
Puerto Leguizamo,CO,76.53,overcast clouds,-0.1934,-74.7819,la casona de juancho
Cacoal,BR,74.43,light rain,-11.4386,-61.4472,Hotel BR 364
Bafoulabe,ML,75.34,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
Ondjiva,AO,70.84,clear sky,-17.0667,15.7333,COMBUESA
Ugoofaaru,MV,79.88,overcast clouds,5.6667,73.0,Ungoofaaru Inn
Buraydah,SA,70.25,clear sky,26.326,43.975,Mövenpick Qassim
Kamariotissa,GR,70.74,clear sky,40.4833,25.4667,Niki Beach
